time (h),power (kW)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,791.48
9,1059.46
10,1078.6
11,960.12
12,916.39
13,684.16
14,768.37
15,251.9
16,786.03
17,0
18,0
19,0
20,0
21,0
22,0
23,0
