time (h),power (kW)
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,1040.05
8,1449.15
9,1571.30
10,1544.13
11,1488.49
12,1452.84
13,1462.20
14,1491.65
15,1505.90
16,1399.36
17,1071.61
18,101.38
19,0.00
20,0.00
21,0.00
22,0.00
23,0.00
