time (h),power (kW)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,93.255943
8,372.264339
9,802.336662
10,997.67675
11,815.130321
12,916.456371
13,746.571585
14,948.516551
15,407.111872
16,274.254892
17,14.875824
18,0
19,0
20,0
21,0
22,0
23,0
